Name,Course_title,Course_name,Session,Class_Number,Career,Units,Grading,Description,Enrollment_Requirements,Add_Consent,Instructor,Meets,Dates,Room,Instruction_Mode,Campus,Location,Components,Status
Section: A-LEC (17288)  Topic: SUSTAINABLE TRANSPORTATION AND CITIES Session: Regular Academic Session Days/Times: MoWe 4:30pm - 6:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Judd Schechtman Status: Open,URB-UY 3834 - A,Special Topics in Sustainable Urban Environments,Regular Academic Session,17288,Undergraduate,4 units,Ugrd Tandon Graded,SUSTAINABLE TRANSPORTATION AND CITIES,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,Judd Schechtman,MoWe 4:30PM - 6:20PM,01/27/2020 - 05/11/2030,"Rogers Hall, Rm 203 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A-LEC (16950)  Session: Regular Academic Session Days/Times: Mo 6:00pm - 9:40pm Dates: 01/27/2020 - 05/11/2020 Instructor: Susan Gladstone Status: Open,URB-UY 3214 - A,Cities in Developing Countries,Regular Academic Session,16950,Undergraduate,4 units,Ugrd Tandon Graded,"This course will examine different facets of cities in developing countries. It will address common problems in developing urban regions, gaining an understanding of common settlement patterns and urban systems by region. It will also focus on specific issues in representative cities of the regions studied. Specific issues will include water and sanitation, health, transportation and infrastructure, historic preservation, disaster risk reduction and housing initiatives. Cases will include representative cities from Asia, Africa, the Middle East, Latin America and the Caribbean. | Prerequisite(s): Completion of first year writing requirements",Upper Level TCS Prerequisites: Completion of first year writing requirements,,Susan Gladstone,Mo 6:00PM - 9:40PM,01/27/2020 - 05/11/2031,TBA,In-Person,Washington Square,Brooklyn Campus,Brooklyn Campus,Open
Section: C-LEC (20061)  Topic: WASTE AND RECYCLING POLICIES AND PRACTICES Session: Regular Academic Session Days/Times: TuTh 4:00pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: RUTH RAE Status: Closed,URB-UY 3834 - C,Special Topics in Sustainable Urban Environments,Regular Academic Session,20061,Undergraduate,4 units,Ugrd Tandon Graded,WASTE AND RECYCLING POLICIES AND PRACTICES,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,RUTH RAE,TuTh 4:00PM - 5:50PM,01/27/2020 - 05/11/2032,2 MetroTechCtr Rm 802 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Closed
"Section: D-LEC (20178)  Topic: URBAN SUSTAINABILITY AND SOCIAL EQUITY Session: Regular Academic Session Days/Times: TuTh 2:00pm - 3:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: MaryAnn Sorensen Allacci, Shamara L Saffore Status: Open",URB-UY 3834 - D,Special Topics in Sustainable Urban Environments,Regular Academic Session,20178,Undergraduate,4 units,Ugrd Tandon Graded,URBAN SUSTAINABILITY AND SOCIAL EQUITY,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,"MaryAnn Sorensen Allacci, 

Shamara L Saffore",TuTh 2:00PM - 3:50PM,01/27/2020 - 05/11/2033,2 MetroTechCtr Rm 830 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: BND2-LEC (17234)  Topic: AFFORDABLE AND SUSTAINABLE HOUSING Session: Regular Academic Session Days/Times: Th 4:00pm - 6:40pm TBA Dates: 01/27/2020 - 05/11/2020 01/27/2020 - 05/11/2020 Instructor: MaryAnn Sorensen Allacci Status: Open,URB-UY 3834 - BND2,Special Topics in Sustainable Urban Environments,Regular Academic Session,17234,Undergraduate,4 units,Ugrd Tandon Graded,AFFORDABLE AND SUSTAINABLE HOUSING,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,MaryAnn Sorensen Allacci,Th 4:00PM - 6:40PM,01/27/2020 - 05/11/2034,2 MetroTechCtr Rm 811 Loc: Brooklyn Campus,MaryAnn Sorensen Allacci,Washington Square,Brooklyn Campus,Blended (Online & In-Person),Open
Section: A-LEC (17235)  Topic: NUCLEAR POWER Session: Regular Academic Session Days/Times: TuTh 9:00am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: William W Sweet Status: Closed,URB-UY 3834W - A,Special Topics in Sustainable Urban Environments,Regular Academic Session,17235,Undergraduate,4 units,Ugrd Tandon Graded,NUCLEAR POWER,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,William W Sweet,TuTh 9:00AM - 10:50AM,01/27/2020 - 05/11/2035,"Rogers Hall, Rm 331 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Closed
Section: LB11-LAB (17444) Session: Regular Academic Session Days/Times:  Fr 2:00pm - 4:50pm Dates:  01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB11,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,17444,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 2:00PM - 4:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 200 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK12-GUI (23344) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Chen Feng Status: Open,CS-UY 410X - BK12,UNDERGRADUATE GUIDED STUDIES IN COMPUTER SCIENCE,Regular Academic Session,23344,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"Students work on an individual basis under the supervision of a full-time faculty member in the department. With permission of the department, such students may substitute two semesters of this course for Software Engineering and Design Project requirements.| Prerequisite: Permission of the instructor and the department.",None,Department Consent Required,Chen Feng,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Guided Studies Required,Open
Section: BK05-RSC (23348) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Christopher Paul Musco Status: Open,CS-UY 420X - BK05,UNDERGRADUATE RESEARCH IN COMPUTER SCIENCE,Regular Academic Session,23348,Undergraduate,2 - 4 units,Ugrd Tandon Graded,"The student conducts research under the supervision of a faculty member, possibly leading to results publishable in the computer science literature. A substantial commitment to this work is expected. The research project may be one or two semesters, to be determined in consultation with the faculty supervisor. Students must submit written and/or oral reports at the conclusion of the project. Students who are interested in taking this course should speak to faculty members well in advance about research opportunities and background needed. | Prerequisite: permission of instructor",None,Department Consent Required,Christopher Paul Musco,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Research Required,Open
Section: BK02-GUI (17495) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Gustavo Sandoval Status: Closed,CS-UY 410X - BK02,UNDERGRADUATE GUIDED STUDIES IN COMPUTER SCIENCE,Regular Academic Session,17495,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"Students work on an individual basis under the supervision of a full-time faculty member in the department. With permission of the department, such students may substitute two semesters of this course for Software Engineering and Design Project requirements.| Prerequisite: Permission of the instructor and the department.",None,Department Consent Required,Gustavo Sandoval,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Guided Studies Required,Closed
Section: A-LEC (17014) Session: Regular Academic Session Days/Times: Tu 6:00pm - 8:30pm Dates: 01/27/2020 - 05/11/2020 Instructor: Moshe Chaim Satt Status: Open This is a combined section class,CS-UY 3923 - A,COMPUTER SECURITY,Regular Academic Session,17014,Undergraduate,3 units,Ugrd Tandon Graded,"This course covers cryptographic systems. Topics: Capability and access control mechanisms, authentication models, protection models. Database and operating system security issues, mobile code, security kernels. Malicious code, Trojan horses and computer viruses. Security policy formation and enforcement enforcement, legal aspects and ethical aspects. | Prerequisite for Brooklyn Students: CS-UY 2214 | Prerequisite for CAS Students: CSCI-UA 201 | Prerequisite for Abu Dhabi Students: CS-UH 2010 or ENGR-AD 3511 | Prerequisite for Shanghai Students: CENG-SHU 202 | Co-requisite for ALL Students: CS-UY 3224",None,Prerequisite for Bklyn Engineering Students: CS-UY 2214 and (CS-UY 2134 or 1134) and (CS-UY 2124 or 1124) (C- or better). Co-requisite for All Students: CS-UY 3224 | Alternative prerequisites for CAS and Abu Dhabi Students; refer to course description.,Mo Satt,Tu 6:00PM - 8:30PM,01/27/2020 - 05/11/2020,"Dibner , Pfizer Auditorium Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: LB9-LAB (17442) Session: Regular Academic Session Days/Times: Fr 10:00am - 12:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB9,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,17442,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 10:00AM - 12:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 204 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK02-RSC (17499) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Torsten Suel Status: Open,CS-UY 420X - BK02,UNDERGRADUATE RESEARCH IN COMPUTER SCIENCE,Regular Academic Session,17499,Undergraduate,2 - 4 units,Ugrd Tandon Graded,"The student conducts research under the supervision of a faculty member, possibly leading to results publishable in the computer science literature. A substantial commitment to this work is expected. The research project may be one or two semesters, to be determined in consultation with the faculty supervisor. Students must submit written and/or oral reports at the conclusion of the project. Students who are interested in taking this course should speak to faculty members well in advance about research opportunities and background needed. | Prerequisite: permission of instructor",None,Department Consent Required,Torsten Suel,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Research Required,Open
Section: A-LEC (17013) Session: Regular Academic Session Days/Times: Mo 6:00pm - 8:30pm Dates: 01/27/2020 - 05/11/2020 Instructor: Edward Kin-ming Wong Status: Open,CS-UY 4613 - A,Artificial Intelligence,Regular Academic Session,17013,Undergraduate,3 units,Ugrd Tandon Graded,"Artificial Intelligence (AI) is an important topic in computer science that has many diversified applications. It addresses one of the ultimate puzzles human are trying to solve â€“ How is it possible for a slow, tiny brain, whether biological or electronic, to perceive, understand, predict, and manipulate a world far larger and more complicated than itself? And, how do we go about creating a machine (or computer) with those properties? To this end, researchers in the AI field have been trying to understand how seeing, learning, remembering, and reasoning could, or should be done. This course introduces students to the many concepts and techniques in artificial intelligence. | Prerequisite for Brooklyn Students: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) | Prerequisite for Abu Dhabi Students: ENGR-UH 3510 or CS-UH 1050 (C- or better) | Prerequisite for Shanghai Students: CSCI-SHU 210 (C- or better)",None,CS-UY 4613 Prerequisite: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better),Edward K Wong,Mo 6:00PM - 8:30PM,01/27/2020 - 05/11/2020,2 MetroTechCtr Rm 9.011,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: LB3-LAB (16873) Session: Regular Academic Session Days/Times: Fr 11:00am - 1:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB3,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,16873,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 11:00AM - 1:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 213 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: LB3-LAB (17150) Session: Regular Academic Session Days/Times: Fr 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Open,CS-UY 1134 - LB3,Data Structures and Algorithms,Regular Academic Session,17150,Undergraduate,0 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,CS-UY 1134 Prerequisite: CS-UY 1114 (C- or better); Corequisite: EX-UY 1,Itay Tal,Fr 2:00PM - 4:50PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 775 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: LB4-LAB (17151) Session: Regular Academic Session Days/Times: Fr 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Open,CS-UY 1134 - LB4,Data Structures and Algorithms,Regular Academic Session,17151,Undergraduate,0 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,CS-UY 1134 Prerequisite: CS-UY 1114 (C- or better); Corequisite: EX-UY 1,Itay Tal,Fr 2:00PM - 4:50PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 773 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: B1LB-LAB (16875) Session: Regular Academic Session Days/Times: Fr 11:00am - 12:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Kok-Ming Leung Status: Open,CS-UY 1133 - B1LB,Engineering Problem Solving and Programming,Regular Academic Session,16875,Undergraduate,0 units,Ugrd Tandon Graded,"This introductory course in engineering problem solving and computer programming is for all undergraduate engineering students without prior programming experience in any language. The course covers the fundamentals of computer programming and its underlying principles using the MATLAB programming language. Concepts and methods are illustrated by examples from various engineering disciplines. Useful numerical techniques and their applications to real-world problems in science and engineering are also discussed.  ABET competencies: a, e, k. | Corequisite: EX-UY 1.",None,Corequisite: EX-UY  1.,K Ming Leung,Fr 11:00AM - 12:20PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 202 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: A-LEC (16980) Session: Regular Academic Session Days/Times: Tu 6:00pm - 8:30pm Dates: 01/27/2020 - 05/11/2020 Instructor: Giovanni Di Crescenzo Status: Open This is a combined section class,CS-UY 4783 - A,Applied Cryptography,Regular Academic Session,16980,Undergraduate,3 units,Ugrd Tandon Graded,"This course examines Modern Cryptography from a both theoretical and applied perspective, with emphasis on â€œprovable securityâ€ and â€œapplication case studiesâ€. The course looks particularly at cryptographic primitives that are building blocks of various cryptographic applications. The course studies notions of security for a given cryptographic primitive, its various constructions and respective security analysis based on the security notion. The cryptographic primitives covered include pseudorandom functions, symmetric encryption (block ciphers), hash functions and random oracles, message authentication codes, asymmetric encryption, digital signatures and authenticated key exchange. The course covers how to build provably secure cryptographic protocols (e.g., secure message transmission, identification schemes, secure function evaluation, etc.), and various number-theoretic assumptions upon which cryptography is based. Also covered: implementation issues (e.g., key lengths, key management, standards, etc.) and, as application case studies, a number of real-life scenarios currently using solutions from modern cryptography. | Prerequisite: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314.",None,CS-UY 4783 Prerequisite: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314.,Giovanni Di Crescenzo,Tu 6:00PM - 8:30PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 315 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A-LEC (17071) Session: Regular Academic Session Days/Times: MoWe 4:30pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Gregory Aloupis Status: Open,CS-UY 2413 - A,DESIGN & ANALYSIS OF ALGORITHMS,Regular Academic Session,17071,Undergraduate,3 units,Ugrd Tandon Graded,"This course covers fundamental principles of the design and analysis of algorithms. Topics include asymptotic notation, recurrences, randomized algorithms, sorting and selection, balanced binary search trees, augmented data structures, advanced data structures, algorithms on strings, graph algorithms, geometric algorithms, greedy algorithms, dynamic programming and NP completeness. | Prerequisites for Brooklyn Engineering Students: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314 | Prerequisites for Abu Dhabi Students: (ENGR-UH 3510 or CS-UH 1050) (C- or better) and CS-UH 1002 | Prerequisite for Shanghai Students: CSCI-SHU 210 (C- or better) and CSCI-SHU 2314",None,CS-UY 2413 Prerequisites for Brooklyn Engineering Students: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314 | Alternative Prerequisites for Abu Dhabi and Shanghai students; refer to course description.,Greg Aloupis,MoWe 4:30PM - 5:50PM,01/27/2020 - 05/11/2020,"371 Jay Street, Room 202 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: LB4-LAB (17269) Session: Regular Academic Session Days/Times: Fr 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB4,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,17269,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 2:00PM - 4:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 204 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
